month,day,avg,min,max,range,date,harvestable
1.0,1.0,0.0881818181818182,0.0,0.55,0.55,2000-01-01,0.18181818181818182
1.0,2.0,0.27909090909090906,0.0,1.44,1.44,2000-01-02,0.36363636363636365
1.0,3.0,0.19727272727272727,0.0,0.82,0.82,2000-01-03,0.45454545454545453
1.0,4.0,0.14909090909090908,0.0,0.64,0.64,2000-01-04,0.45454545454545453
1.0,5.0,0.2218181818181818,0.0,0.76,0.76,2000-01-05,0.6363636363636364
1.0,6.0,0.3018181818181818,0.0,1.46,1.46,2000-01-06,0.5454545454545454
1.0,7.0,0.18999999999999997,0.0,0.95,0.95,2000-01-07,0.36363636363636365
1.0,8.0,0.18181818181818182,0.0,0.73,0.73,2000-01-08,0.45454545454545453
1.0,9.0,0.15545454545454546,0.0,0.69,0.69,2000-01-09,0.36363636363636365
1.0,10.0,0.14272727272727273,0.0,0.38,0.38,2000-01-10,0.5454545454545454
1.0,11.0,0.3172727272727273,0.0,0.93,0.93,2000-01-11,0.45454545454545453
1.0,12.0,0.30454545454545456,0.0,1.5,1.5,2000-01-12,0.5454545454545454
1.0,13.0,0.13363636363636364,0.0,0.38,0.38,2000-01-13,0.45454545454545453
1.0,14.0,0.02,0.0,0.09,0.09,2000-01-14,0.0
1.0,15.0,0.09181818181818181,0.0,0.36,0.36,2000-01-15,0.2727272727272727
1.0,16.0,0.07818181818181819,0.0,0.53,0.53,2000-01-16,0.2727272727272727
1.0,17.0,0.3436363636363637,0.0,1.45,1.45,2000-01-17,0.45454545454545453
1.0,18.0,0.35545454545454547,0.0,1.22,1.22,2000-01-18,0.6363636363636364
1.0,19.0,0.06454545454545454,0.0,0.36,0.36,2000-01-19,0.18181818181818182
1.0,20.0,0.05818181818181818,0.0,0.25,0.25,2000-01-20,0.2727272727272727
1.0,21.0,0.3227272727272727,0.0,1.66,1.66,2000-01-21,0.45454545454545453
1.0,22.0,0.14545454545454548,0.0,0.43,0.43,2000-01-22,0.45454545454545453
1.0,23.0,0.2290909090909091,0.0,0.83,0.83,2000-01-23,0.45454545454545453
1.0,24.0,0.11727272727272728,0.0,0.36,0.36,2000-01-24,0.36363636363636365
1.0,25.0,0.028181818181818183,0.0,0.11,0.11,2000-01-25,0.09090909090909091
1.0,26.0,0.09181818181818181,0.0,0.29,0.29,2000-01-26,0.36363636363636365
1.0,27.0,0.27636363636363637,0.0,0.78,0.78,2000-01-27,0.6363636363636364
1.0,28.0,0.1709090909090909,0.0,0.58,0.58,2000-01-28,0.36363636363636365
1.0,29.0,0.11636363636363636,0.0,0.89,0.89,2000-01-29,0.2727272727272727
1.0,30.0,0.08272727272727273,0.0,0.25,0.25,2000-01-30,0.36363636363636365
1.0,31.0,0.15363636363636363,0.0,0.63,0.63,2000-01-31,0.36363636363636365
2.0,1.0,0.2609090909090909,0.0,0.94,0.94,2000-02-01,0.45454545454545453
2.0,2.0,0.0990909090909091,0.0,0.48,0.48,2000-02-02,0.2727272727272727
2.0,3.0,0.1990909090909091,0.0,0.62,0.62,2000-02-03,0.36363636363636365
