year,month,PRCP [in],cumulative
2015.0,1.0,2.66,2.66
2015.0,2.0,4.4,7.0600000000000005
2015.0,3.0,4.46,11.52
2015.0,4.0,1.52,13.040000000000001
2015.0,5.0,0.9099999999999999,13.950000000000001
2015.0,6.0,0.15,14.1
2015.0,7.0,1.04,15.14
2015.0,8.0,2.6999999999999997,17.84
2015.0,9.0,1.11,18.95
2015.0,10.0,3.83,22.78
2015.0,11.0,7.16,29.94
2015.0,12.0,9.41,39.35
2016.0,1.0,7.1899999999999995,7.1899999999999995
2016.0,2.0,4.07,11.26
2016.0,3.0,5.22,16.48
2016.0,4.0,1.57,18.05
2016.0,5.0,1.63,19.68
2016.0,6.0,1.52,21.2
2016.0,7.0,0.53,21.73
2016.0,8.0,0.05,21.78
2016.0,9.0,1.53,23.31
2016.0,10.0,10.3,33.61
2016.0,11.0,7.71,41.32
2016.0,12.0,3.71,45.03
2017.0,1.0,3.6999999999999997,3.6999999999999997
2017.0,2.0,8.16,11.86
2017.0,3.0,6.49,18.35
2017.0,4.0,4.05,22.4
2017.0,5.0,3.15,25.55
2017.0,6.0,1.0699999999999998,26.619999999999997
2017.0,7.0,0.03,26.65
2017.0,8.0,0.21000000000000002,26.86
2017.0,9.0,1.1,27.96
2017.0,10.0,3.72,31.68
2017.0,11.0,8.32,40.0
2017.0,12.0,4.83,44.83
2018.0,1.0,8.42,8.42
2018.0,2.0,3.44,11.86
2018.0,3.0,2.49,14.35
2018.0,4.0,5.75,20.1
2018.0,5.0,0.3,20.4
2018.0,6.0,1.76,22.16
2018.0,7.0,0.02,22.18
2018.0,8.0,0.28,22.46
2018.0,9.0,1.4100000000000001,23.87
2018.0,10.0,3.43,27.3
2018.0,11.0,4.33,31.63
2018.0,12.0,5.63,37.26
2019.0,1.0,2.87,2.87
2019.0,2.0,3.98,6.85
2019.0,3.0,1.5999999999999999,8.45
2019.0,4.0,2.21,10.66
2019.0,5.0,1.4500000000000002,12.11
2019.0,6.0,0.78,12.89
2019.0,7.0,1.5,14.39
2019.0,8.0,1.33,15.72
2019.0,9.0,3.8600000000000003,19.580000000000002
2019.0,10.0,2.61,22.19
2019.0,11.0,1.77,23.96
2019.0,12.0,7.31,31.27
2020.0,1.0,7.96,7.96
2020.0,2.0,5.01,12.969999999999999
2020.0,3.0,3.38,16.35
2020.0,4.0,1.73,18.08
2020.0,5.0,4.21,22.29
2020.0,6.0,3.06,25.349999999999998
2020.0,7.0,0.16,25.509999999999998
2020.0,8.0,0.5800000000000001,26.09
2020.0,9.0,4.16,30.25
2020.0,10.0,2.98,33.23
2020.0,11.0,5.38,38.61
2020.0,12.0,5.96,44.57
2021.0,1.0,7.61,7.61
2021.0,2.0,4.41,12.02
2021.0,3.0,3.2199999999999998,15.24
2021.0,4.0,0.96,16.2
2021.0,5.0,1.3699999999999999,17.57
2021.0,6.0,2.09,19.66
2021.0,7.0,0.06,19.72
2021.0,8.0,0.27999999999999997,20.0
2021.0,9.0,2.97,22.97
2021.0,10.0,4.6,27.57
2021.0,11.0,7.72,35.29
2021.0,12.0,4.71,40.0
2022.0,1.0,6.5,6.5
2022.0,2.0,3.59,10.09
2022.0,3.0,3.15,13.24
2022.0,4.0,2.94,16.18
2022.0,5.0,3.8,19.98
2022.0,6.0,2.7100000000000004,22.69
2022.0,7.0,0.19,22.88
2022.0,8.0,0.07,22.95
2022.0,9.0,0.13,23.08
2022.0,10.0,2.8,25.88
2022.0,11.0,5.15,31.03
2022.0,12.0,7.06,38.09
2023.0,1.0,4.11,4.11
2023.0,2.0,2.46,6.57
2023.0,3.0,2.93,9.5
2023.0,4.0,3.15,12.65
2023.0,5.0,0.8800000000000001,13.530000000000001
2023.0,6.0,0.0,13.530000000000001
2023.0,7.0,0.16999999999999998,13.700000000000001
2023.0,8.0,0.48,14.18
2023.0,9.0,3.69,17.87
2023.0,10.0,2.77,20.64
2023.0,11.0,4.78,25.42
2023.0,12.0,8.83,34.25
2024.0,1.0,6.33,6.33
2024.0,2.0,3.47,9.8
2024.0,3.0,2.98,12.780000000000001
2024.0,4.0,2.42,15.2
2024.0,5.0,2.95,18.15
2024.0,6.0,1.5,19.65
2024.0,7.0,0.25,19.9
2024.0,8.0,2.44,22.34
2024.0,9.0,1.02,23.36
2024.0,10.0,4.03,27.39
2024.0,11.0,5.4,32.79
2024.0,12.0,6.71,39.5
2025.0,1.0,2.15,2.15
2025.0,2.0,3.88,6.029999999999999
2025.0,3.0,3.87,9.9
2025.0,4.0,2.2199999999999998,12.12
2025.0,5.0,2.06,14.18
2025.0,6.0,0.25,14.43
2025.0,7.0,0.0,14.43
2025.0,8.0,1.16,15.59
2025.0,9.0,0.9700000000000001,16.56
2025.0,10.0,3.74,20.3
2025.0,11.0,5.86,26.16
2025.0,12.0,6.63,32.79
